dataset,evaluation_type,source_name,is_ood,n_images,threshold,accuracy,roc_auc_real_positive,macro_f1,fake_precision,fake_recall,fake_f1,real_precision,real_recall,real_f1
test_id,id,combined_id_test,False,38400,0.7100000000000002,0.9318489583333334,0.9910861952039931,0.931662280488593,0.890979393596454,0.9841145833333333,0.9352339941099315,0.9822602221834468,0.8795833333333334,0.9280905668672547
test_source_gravex,source_seen_or_mixed,gravex,False,9200,0.7100000000000002,0.84,0.9561279300567107,0.837240151397042,0.7697481890307002,0.9702173913043478,0.8584343142912099,0.959729570840682,0.7097826086956521,0.8160459885028742
test_source_stylegan,source_seen_or_mixed,stylegan,False,20000,0.7100000000000002,0.96085,0.99636605,0.9608173874299492,0.9357095584759384,0.9897,0.9619478058025951,0.9890692985248859,0.932,0.9596869690573032
test_source_flux_sdxl,source_seen_or_mixed,flux_sdxl,False,9200,0.7100000000000002,0.9606521739130435,0.9959608931947072,0.9606271360464386,0.9385347682119205,0.9858695652173913,0.9616200169635284,0.9851190476190477,0.9354347826086956,0.9596342551293487
