dataset,evaluation_type,source_name,is_ood,n_images,threshold,accuracy,roc_auc_real_positive,macro_f1,fake_precision,fake_recall,fake_f1,real_precision,real_recall,real_f1
test_id,id,combined_id_test,False,38400,0.7100000000000002,0.7968229166666667,0.8742565456814234,0.7967818314700457,0.7886154157804113,0.8110416666666667,0.799671339803831,0.8055108823844752,0.7826041666666667,0.7938923231362603
test_source_gravex,source_seen_or_mixed,gravex,False,9200,0.7100000000000002,0.7082608695652174,0.7821826086956521,0.6981969649561952,0.652547770700637,0.8908695652173914,0.7533088235294118,0.8280821917808219,0.5256521739130435,0.6430851063829788
test_source_stylegan,source_seen_or_mixed,stylegan,False,20000,0.7100000000000002,0.78625,0.87891192,0.7848852859022112,0.8404900678006423,0.7066,0.7677513989243223,0.7469162425601656,0.8659,0.8020191728801
test_source_flux_sdxl,source_seen_or_mixed,flux_sdxl,False,9200,0.7100000000000002,0.9083695652173913,0.9784158081285443,0.9081409148876352,0.871318442379917,0.9582608695652174,0.912723884460089,0.9536343878290268,0.8584782608695652,0.9035579453151813
